20-08-04 18:36:52.861 : testsets\data-1
20-08-04 18:36:52.870 : ---1-->      0.jpg
20-08-04 18:36:53.668 : ---2-->      1.jpg
20-08-04 18:36:53.675 : ---3-->     10.jpg
20-08-04 18:36:53.681 : ---4-->    100.jpg
20-08-04 18:36:53.691 : ---5-->   1000.jpg
20-08-04 18:36:53.703 : ---6-->   1001.jpg
20-08-04 18:36:53.711 : ---7-->   1002.jpg
20-08-04 18:36:53.719 : ---8-->   1003.jpg
20-08-04 18:36:53.730 : ---9-->   1004.jpg
20-08-04 18:36:53.740 : --10-->   1005.jpg
20-08-04 18:36:53.748 : --11-->   1006.jpg
20-08-04 18:36:53.760 : --12-->   1007.jpg
20-08-04 18:36:53.767 : --13-->   1008.jpg
20-08-04 18:36:53.778 : --14-->   1009.jpg
20-08-04 18:36:53.786 : --15-->    101.jpg
20-08-04 18:36:53.799 : --16-->   1010.jpg
20-08-04 18:36:53.808 : --17-->   1011.jpg
20-08-04 18:36:53.815 : --18-->   1012.jpg
20-08-04 18:36:53.824 : --19-->   1013.jpg
20-08-04 18:36:53.832 : --20-->   1014.jpg
20-08-04 18:36:53.840 : --21-->   1015.jpg
20-08-04 18:36:53.848 : --22-->   1016.jpg
20-08-04 18:36:53.858 : --23-->   1017.jpg
20-08-04 18:36:53.868 : --24-->   1018.jpg
20-08-04 18:36:53.878 : --25-->   1019.jpg
20-08-04 18:36:53.887 : --26-->    102.jpg
20-08-04 18:36:53.903 : --27-->   1020.jpg
20-08-04 18:36:53.911 : --28-->   1021.jpg
20-08-04 18:36:53.921 : --29-->   1022.jpg
20-08-04 18:36:53.928 : --30-->   1023.jpg
20-08-04 18:36:53.938 : --31-->   1024.jpg
20-08-04 18:36:53.945 : --32-->   1025.jpg
20-08-04 18:36:53.954 : --33-->   1026.jpg
20-08-04 18:36:53.961 : --34-->   1027.jpg
20-08-04 18:36:53.969 : --35-->   1028.jpg
20-08-04 18:36:53.978 : --36-->   1029.jpg
20-08-04 18:36:53.985 : --37-->    103.jpg
20-08-04 18:36:53.995 : --38-->   1030.jpg
20-08-04 18:36:54.006 : --39-->   1031.jpg
20-08-04 18:36:54.013 : --40-->   1032.jpg
20-08-04 18:36:54.022 : --41-->   1033.jpg
20-08-04 18:36:54.030 : --42-->   1034.jpg
20-08-04 18:36:54.037 : --43-->   1035.jpg
20-08-04 18:36:54.047 : --44-->   1036.jpg
20-08-04 18:36:54.054 : --45-->   1037.jpg
20-08-04 18:36:54.062 : --46-->   1038.jpg
20-08-04 18:36:54.069 : --47-->   1039.jpg
20-08-04 18:36:54.076 : --48-->    104.jpg
20-08-04 18:36:54.084 : --49-->   1040.jpg
20-08-04 18:36:54.092 : --50-->   1041.jpg
20-08-04 18:36:54.102 : --51-->   1042.jpg
20-08-04 18:36:54.107 : --52-->   1043.jpg
20-08-04 18:36:54.116 : --53-->   1044.jpg
20-08-04 18:36:54.122 : --54-->   1045.jpg
20-08-04 18:36:54.130 : --55-->   1046.jpg
20-08-04 18:36:54.137 : --56-->   1047.jpg
20-08-04 18:36:54.146 : --57-->   1048.jpg
20-08-04 18:36:54.152 : --58-->   1049.jpg
20-08-04 18:36:54.159 : --59-->    105.jpg
20-08-04 18:36:54.166 : --60-->   1050.jpg
20-08-04 18:36:54.172 : --61-->   1051.jpg
20-08-04 18:36:54.178 : --62-->   1052.jpg
20-08-04 18:36:54.185 : --63-->   1053.jpg
20-08-04 18:36:54.192 : --64-->   1054.jpg
20-08-04 18:36:54.200 : --65-->   1055.jpg
20-08-04 18:36:54.208 : --66-->   1056.jpg
20-08-04 18:36:54.217 : --67-->   1057.jpg
20-08-04 18:36:54.226 : --68-->   1058.jpg
20-08-04 18:36:54.233 : --69-->   1059.jpg
20-08-04 18:36:54.240 : --70-->    106.jpg
20-08-04 18:36:54.248 : --71-->   1060.jpg
20-08-04 18:36:54.256 : --72-->   1061.jpg
20-08-04 18:36:54.265 : --73-->   1062.jpg
20-08-04 18:36:54.274 : --74-->   1063.jpg
20-08-04 18:36:54.281 : --75-->   1064.jpg
20-08-04 18:36:54.291 : --76-->   1065.jpg
20-08-04 18:36:54.300 : --77-->   1066.jpg
20-08-04 18:36:54.319 : --78-->   1067.jpg
20-08-04 18:36:54.333 : --79-->   1068.jpg
20-08-04 18:36:54.341 : --80-->   1069.jpg
20-08-04 18:36:54.350 : --81-->    107.jpg
20-08-04 18:36:54.356 : --82-->   1070.jpg
20-08-04 18:36:54.364 : --83-->   1071.jpg
20-08-04 18:36:54.372 : --84-->   1072.jpg
20-08-04 18:36:54.379 : --85-->   1073.jpg
20-08-04 18:36:54.388 : --86-->   1074.jpg
20-08-04 18:36:54.398 : --87-->   1075.jpg
20-08-04 18:36:54.408 : --88-->   1076.jpg
20-08-04 18:36:54.416 : --89-->   1077.jpg
20-08-04 18:36:54.426 : --90-->   1078.jpg
20-08-04 18:36:54.434 : --91-->   1079.jpg
20-08-04 18:36:54.444 : --92-->    108.jpg
20-08-04 18:36:54.455 : --93-->   1080.jpg
20-08-04 18:36:54.464 : --94-->   1081.jpg
20-08-04 18:36:54.472 : --95-->   1082.jpg
20-08-04 18:36:54.480 : --96-->   1083.jpg
20-08-04 18:36:54.489 : --97-->   1084.jpg
20-08-04 18:36:54.498 : --98-->   1085.jpg
20-08-04 18:36:54.508 : --99-->   1086.jpg
20-08-04 18:36:54.516 : -100-->   1087.jpg
20-08-04 18:36:54.524 : -101-->   1088.jpg
20-08-04 18:36:54.532 : -102-->   1089.jpg
20-08-04 18:36:54.542 : -103-->    109.jpg
20-08-04 18:36:54.549 : -104-->   1090.jpg
20-08-04 18:36:54.559 : -105-->   1091.jpg
20-08-04 18:36:54.567 : -106-->   1092.jpg
20-08-04 18:36:54.573 : -107-->   1093.jpg
20-08-04 18:36:54.582 : -108-->   1094.jpg
20-08-04 18:36:54.590 : -109-->   1095.jpg
20-08-04 18:36:54.599 : -110-->   1096.jpg
20-08-04 18:36:54.605 : -111-->   1097.jpg
20-08-04 18:36:54.612 : -112-->   1098.jpg
20-08-04 18:36:54.622 : -113-->   1099.jpg
20-08-04 18:36:54.632 : -114-->     11.jpg
20-08-04 18:36:54.640 : -115-->    110.jpg
20-08-04 18:36:54.649 : -116-->   1100.jpg
20-08-04 18:36:54.671 : -117-->   1101.jpg
20-08-04 18:36:54.685 : -118-->   1102.jpg
20-08-04 18:36:54.693 : -119-->   1103.jpg
20-08-04 18:36:54.707 : -120-->   1104.jpg
20-08-04 18:36:54.715 : -121-->   1105.jpg
20-08-04 18:36:54.723 : -122-->   1106.jpg
20-08-04 18:36:54.730 : -123-->   1107.jpg
20-08-04 18:36:54.740 : -124-->   1108.jpg
20-08-04 18:36:54.747 : -125-->   1109.jpg
20-08-04 18:36:54.757 : -126-->    111.jpg
20-08-04 18:36:54.766 : -127-->   1110.jpg
20-08-04 18:36:54.773 : -128-->   1111.jpg
20-08-04 18:36:54.785 : -129-->   1112.jpg
20-08-04 18:36:54.792 : -130-->   1113.jpg
20-08-04 18:36:54.801 : -131-->   1114.jpg
20-08-04 18:36:54.810 : -132-->   1115.jpg
20-08-04 18:36:54.817 : -133-->   1116.jpg
