20-08-04 18:37:53.612 : testsets\data-1
20-08-04 18:37:53.622 : ---1-->      0.jpg
20-08-04 18:37:54.448 : ---2-->      1.jpg
20-08-04 18:37:54.454 : ---3-->     10.jpg
20-08-04 18:37:54.460 : ---4-->    100.jpg
20-08-04 18:37:54.469 : ---5-->   1000.jpg
20-08-04 18:37:54.481 : ---6-->   1001.jpg
20-08-04 18:37:54.489 : ---7-->   1002.jpg
20-08-04 18:37:54.497 : ---8-->   1003.jpg
20-08-04 18:37:54.506 : ---9-->   1004.jpg
20-08-04 18:37:54.514 : --10-->   1005.jpg
20-08-04 18:37:54.521 : --11-->   1006.jpg
20-08-04 18:37:54.532 : --12-->   1007.jpg
20-08-04 18:37:54.540 : --13-->   1008.jpg
20-08-04 18:37:54.550 : --14-->   1009.jpg
20-08-04 18:37:54.556 : --15-->    101.jpg
20-08-04 18:37:54.568 : --16-->   1010.jpg
20-08-04 18:37:54.576 : --17-->   1011.jpg
20-08-04 18:37:54.583 : --18-->   1012.jpg
20-08-04 18:37:54.591 : --19-->   1013.jpg
20-08-04 18:37:54.598 : --20-->   1014.jpg
20-08-04 18:37:54.606 : --21-->   1015.jpg
20-08-04 18:37:54.615 : --22-->   1016.jpg
20-08-04 18:37:54.626 : --23-->   1017.jpg
20-08-04 18:37:54.635 : --24-->   1018.jpg
20-08-04 18:37:54.644 : --25-->   1019.jpg
20-08-04 18:37:54.652 : --26-->    102.jpg
20-08-04 18:37:54.665 : --27-->   1020.jpg
20-08-04 18:37:54.671 : --28-->   1021.jpg
20-08-04 18:37:54.680 : --29-->   1022.jpg
20-08-04 18:37:54.686 : --30-->   1023.jpg
20-08-04 18:37:54.693 : --31-->   1024.jpg
20-08-04 18:37:54.699 : --32-->   1025.jpg
20-08-04 18:37:54.707 : --33-->   1026.jpg
20-08-04 18:37:54.714 : --34-->   1027.jpg
20-08-04 18:37:54.722 : --35-->   1028.jpg
20-08-04 18:37:54.731 : --36-->   1029.jpg
20-08-04 18:37:54.737 : --37-->    103.jpg
20-08-04 18:37:54.751 : --38-->   1030.jpg
20-08-04 18:37:54.763 : --39-->   1031.jpg
20-08-04 18:37:54.770 : --40-->   1032.jpg
20-08-04 18:37:54.781 : --41-->   1033.jpg
20-08-04 18:37:54.788 : --42-->   1034.jpg
20-08-04 18:37:54.796 : --43-->   1035.jpg
20-08-04 18:37:54.803 : --44-->   1036.jpg
20-08-04 18:37:54.810 : --45-->   1037.jpg
20-08-04 18:37:54.818 : --46-->   1038.jpg
20-08-04 18:37:54.825 : --47-->   1039.jpg
20-08-04 18:37:54.831 : --48-->    104.jpg
20-08-04 18:37:54.842 : --49-->   1040.jpg
20-08-04 18:37:54.851 : --50-->   1041.jpg
20-08-04 18:37:54.859 : --51-->   1042.jpg
20-08-04 18:37:54.864 : --52-->   1043.jpg
20-08-04 18:37:54.872 : --53-->   1044.jpg
20-08-04 18:37:54.878 : --54-->   1045.jpg
20-08-04 18:37:54.886 : --55-->   1046.jpg
20-08-04 18:37:54.892 : --56-->   1047.jpg
20-08-04 18:37:54.900 : --57-->   1048.jpg
20-08-04 18:37:54.905 : --58-->   1049.jpg
20-08-04 18:37:54.911 : --59-->    105.jpg
20-08-04 18:37:54.918 : --60-->   1050.jpg
20-08-04 18:37:54.925 : --61-->   1051.jpg
20-08-04 18:37:54.930 : --62-->   1052.jpg
20-08-04 18:37:54.937 : --63-->   1053.jpg
20-08-04 18:37:54.944 : --64-->   1054.jpg
20-08-04 18:37:54.952 : --65-->   1055.jpg
20-08-04 18:37:54.959 : --66-->   1056.jpg
20-08-04 18:37:54.969 : --67-->   1057.jpg
20-08-04 18:37:54.977 : --68-->   1058.jpg
20-08-04 18:37:54.984 : --69-->   1059.jpg
20-08-04 18:37:54.991 : --70-->    106.jpg
20-08-04 18:37:54.998 : --71-->   1060.jpg
20-08-04 18:37:55.007 : --72-->   1061.jpg
20-08-04 18:37:55.016 : --73-->   1062.jpg
20-08-04 18:37:55.023 : --74-->   1063.jpg
20-08-04 18:37:55.031 : --75-->   1064.jpg
20-08-04 18:37:55.040 : --76-->   1065.jpg
20-08-04 18:37:55.049 : --77-->   1066.jpg
20-08-04 18:37:55.058 : --78-->   1067.jpg
20-08-04 18:37:55.065 : --79-->   1068.jpg
20-08-04 18:37:55.071 : --80-->   1069.jpg
20-08-04 18:37:55.080 : --81-->    107.jpg
