20-08-04 18:36:22.488 : testsets\data-1
20-08-04 18:36:22.497 : ---1-->      0.jpg
20-08-04 18:36:24.531 : -118-->   1102.jpg
20-08-04 18:36:24.541 : -119-->   1103.jpg
20-08-04 18:36:24.558 : -120-->   1104.jpg
20-08-04 18:36:24.568 : -121-->   1105.jpg
20-08-04 18:36:24.583 : -122-->   1106.jpg
20-08-04 18:36:24.593 : -123-->   1107.jpg
20-08-04 18:36:24.604 : -124-->   1108.jpg
20-08-04 18:36:24.613 : -125-->   1109.jpg
20-08-04 18:36:24.628 : -126-->    111.jpg
20-08-04 18:36:24.637 : -127-->   1110.jpg
20-08-04 18:36:24.646 : -128-->   1111.jpg
20-08-04 18:36:24.662 : -129-->   1112.jpg
20-08-04 18:36:24.673 : -130-->   1113.jpg
20-08-04 18:36:24.687 : -131-->   1114.jpg
20-08-04 18:36:24.698 : -132-->   1115.jpg
20-08-04 18:36:24.709 : -133-->   1116.jpg
20-08-04 18:36:24.719 : -134-->   1117.jpg
20-08-04 18:36:24.734 : -135-->   1118.jpg
20-08-04 18:36:24.746 : -136-->   1119.jpg
20-08-04 18:36:24.765 : -137-->    112.jpg
20-08-04 18:36:24.777 : -138-->   1120.jpg
20-08-04 18:36:24.786 : -139-->   1121.jpg
20-08-04 18:36:24.797 : -140-->   1122.jpg
20-08-04 18:36:24.806 : -141-->   1123.jpg
20-08-04 18:36:24.820 : -142-->   1124.jpg
20-08-04 18:36:24.831 : -143-->   1125.jpg
20-08-04 18:36:24.846 : -144-->   1126.jpg
20-08-04 18:36:24.858 : -145-->   1127.jpg
20-08-04 18:36:24.869 : -146-->   1128.jpg
20-08-04 18:36:24.879 : -147-->   1129.jpg
20-08-04 18:36:24.892 : -148-->    113.jpg
20-08-04 18:36:24.902 : -149-->   1130.jpg
20-08-04 18:36:24.913 : -150-->   1131.jpg
20-08-04 18:36:24.927 : -151-->   1132.jpg
20-08-04 18:36:24.939 : -152-->   1133.jpg
20-08-04 18:36:24.952 : -153-->   1134.jpg
20-08-04 18:36:24.961 : -154-->   1135.jpg
20-08-04 18:36:24.972 : -155-->   1136.jpg
20-08-04 18:36:24.981 : -156-->   1137.jpg
20-08-04 18:36:24.993 : -157-->   1138.jpg
20-08-04 18:36:25.005 : -158-->   1139.jpg
20-08-04 18:36:25.016 : -159-->    114.jpg
20-08-04 18:36:25.028 : -160-->   1140.jpg
20-08-04 18:36:25.039 : -161-->   1141.jpg
20-08-04 18:36:25.050 : -162-->   1142.jpg
20-08-04 18:36:25.061 : -163-->   1143.jpg
20-08-04 18:36:25.071 : -164-->   1144.jpg
20-08-04 18:36:25.085 : -165-->   1145.jpg
20-08-04 18:36:25.104 : -166-->   1146.jpg
20-08-04 18:36:25.115 : -167-->   1147.jpg
20-08-04 18:36:25.121 : -168-->   1148.jpg
20-08-04 18:36:25.130 : -169-->   1149.jpg
20-08-04 18:36:25.145 : -170-->    115.jpg
20-08-04 18:36:25.157 : -171-->   1150.jpg
20-08-04 18:36:25.166 : -172-->   1151.jpg
20-08-04 18:36:25.175 : -173-->   1152.jpg
20-08-04 18:36:25.184 : -174-->   1153.jpg
20-08-04 18:36:25.192 : -175-->   1154.jpg
20-08-04 18:36:25.199 : -176-->   1155.jpg
20-08-04 18:36:25.208 : -177-->   1156.jpg
20-08-04 18:36:25.215 : -178-->   1157.jpg
20-08-04 18:36:25.223 : -179-->   1158.jpg
20-08-04 18:36:25.230 : -180-->   1159.jpg
20-08-04 18:36:25.240 : -181-->    116.jpg
20-08-04 18:36:25.249 : -182-->   1160.jpg
20-08-04 18:36:25.258 : -183-->   1161.jpg
20-08-04 18:36:25.266 : -184-->   1162.jpg
20-08-04 18:36:25.276 : -185-->   1163.jpg
20-08-04 18:36:25.282 : -186-->   1164.jpg
20-08-04 18:36:25.288 : -187-->   1165.jpg
20-08-04 18:36:25.300 : -188-->   1166.jpg
20-08-04 18:36:25.310 : -189-->   1167.jpg
20-08-04 18:36:25.323 : -190-->   1168.jpg
20-08-04 18:36:25.342 : -191-->   1169.jpg
20-08-04 18:36:25.351 : -192-->    117.jpg
20-08-04 18:36:25.364 : -193-->   1170.jpg
20-08-04 18:36:25.383 : -194-->   1171.jpg
20-08-04 18:36:25.396 : -195-->   1172.jpg
20-08-04 18:36:25.404 : -196-->   1173.jpg
20-08-04 18:36:25.411 : -197-->   1174.jpg
20-08-04 18:36:25.429 : -198-->   1175.jpg
20-08-04 18:36:25.439 : -199-->   1176.jpg
20-08-04 18:36:25.454 : -200-->   1177.jpg
20-08-04 18:36:25.465 : -201-->   1178.jpg
20-08-04 18:36:25.475 : -202-->   1179.jpg
20-08-04 18:36:25.487 : -203-->    118.jpg
20-08-04 18:36:25.498 : -204-->   1180.jpg
20-08-04 18:36:25.509 : -205-->   1181.jpg
20-08-04 18:36:25.519 : -206-->   1182.jpg
20-08-04 18:36:25.528 : -207-->   1183.jpg
20-08-04 18:36:25.538 : -208-->   1184.jpg
20-08-04 18:36:25.546 : -209-->   1185.jpg
20-08-04 18:36:25.555 : -210-->   1186.jpg
20-08-04 18:36:25.567 : -211-->   1187.jpg
20-08-04 18:36:25.575 : -212-->   1188.jpg
20-08-04 18:36:25.586 : -213-->   1189.jpg
20-08-04 18:36:25.598 : -214-->    119.jpg
20-08-04 18:36:25.605 : -215-->   1190.jpg
20-08-04 18:36:25.614 : -216-->   1191.jpg
20-08-04 18:36:25.621 : -217-->   1192.jpg
20-08-04 18:36:25.631 : -218-->   1193.jpg
20-08-04 18:36:25.637 : -219-->   1194.jpg
20-08-04 18:36:25.645 : -220-->   1195.jpg
20-08-04 18:36:25.655 : -221-->   1196.jpg
20-08-04 18:36:25.665 : -222-->   1197.jpg
20-08-04 18:36:25.673 : -223-->   1198.jpg
20-08-04 18:36:25.680 : -224-->   1199.jpg
20-08-04 18:36:25.686 : -225-->     12.jpg
20-08-04 18:36:25.696 : -226-->    120.jpg
20-08-04 18:36:25.708 : -227-->   1200.jpg
20-08-04 18:36:25.717 : -228-->   1201.jpg
20-08-04 18:36:25.724 : -229-->   1202.jpg
20-08-04 18:36:25.731 : -230-->   1203.jpg
